Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.785	0.000000	0.000
FBtr0300738	2350	2176.410	0.185185	3.099
FBtr0300739	2172	1998.410	0.182270	2.801
FBtr0300737	2184	2010.410	0.228885	3.538
FBtr0300736	2338	2164.410	0.151927	2.529
FBtr0078628	2467	2293.410	0.136216	2.402
FBtr0300740	2479	2305.410	0.163433	2.897
FBtr0078627	2301	2127.410	0.159389	2.607
FBtr0300741	2313	2139.410	0.195470	3.216
FBtr0072762	889	715.600	75.687737	416.475
FBtr0346821	1270	1096.410	5.143780	43.366
FBtr0331460	900	726.597	0.331147	1.850
FBtr0303848	5005	4831.410	9.515636	353.512
FBtr0086122	1465	1291.410	0.604219	6.000
FBtr0335147	3125	2951.410	2.517617	57.136
FBtr0081459	3019	2845.410	19.632044	429.540
FBtr0305321	6523	6349.410	1.436332	70.126
FBtr0083716	5665	5491.410	20.269021	855.874
FBtr0078184	1305	1131.410	0.459777	4.000
FBtr0081691	765	591.656	0.108284	0.493
FBtr0085263	1228	1054.410	0.123338	1.000
FBtr0086342	492	318.794	0.000000	0.000
FBtr0086343	495	321.791	0.000000	0.000
FBtr0091847	1023	849.410	1.021104	6.669
FBtr0072393	1393	1219.410	13.629298	127.796
FBtr0343502	867	693.605	0.883078	4.710
FBtr0343753	3569	3395.410	4.002698	104.505
FBtr0433525	3725	3551.410	0.252656	6.900
FBtr0113895	961	787.574	28.401481	171.999
FBtr0345179	887	713.600	58.682669	322.001
FBtr0334135	4703	4529.410	0.290526	10.119
FBtr0334137	4561	4387.410	0.443001	14.945
FBtr0334141	5321	5147.410	0.206150	8.160
FBtr0334139	4203	4029.410	0.459980	14.252
FBtr0334140	5704	5530.410	0.193861	8.244
FBtr0344148	4894	4720.410	0.264609	9.605
FBtr0334142	5071	4897.410	0.228176	8.593
FBtr0334138	5563	5389.410	0.183393	7.600
FBtr0334136	3862	3688.410	1.251686	35.500
FBtr0085105	995	821.542	11.080899	70.000
FBtr0346720	2745	2571.410	0.000000	0.000
FBtr0076089	442	268.825	0.000000	0.000
FBtr0087500	1417	1243.410	12.864647	123.000
FBtr0073094	1694	1520.410	6.572465	76.839
FBtr0073093	1577	1403.410	72.480083	782.161
FBtr0343515	1092	918.410	0.234642	1.657
FBtr0072451	975	801.559	9.141360	56.343
FBtr0071607	2252	2078.410	2.815713	45.000
FBtr0081516	4704	4530.410	0.114823	4.000
FBtr0300749	931	757.592	0.687427	4.005
FBtr0346532	1185	1011.410	0.580484	4.515
FBtr0073076	880	706.601	67.450374	366.481
FBtr0089289	4677	4503.410	3.383854	117.178
FBtr0100448	4590	4416.410	1.563690	53.102
FBtr0089290	4681	4507.410	1.337866	46.370
FBtr0089288	4037	3863.410	7.616007	226.251
FBtr0100447	4417	4243.410	1.409634	45.995
FBtr0329933	4663	4489.410	1.298841	44.837
FBtr0336949	2826	2652.410	21.586466	440.266
FBtr0088786	1378	1204.410	75.286804	697.246
FBtr0088785	1869	1695.410	19.148682	249.636
FBtr0303077	607	433.744	0.000000	0.000
FBtr0339716	615	441.739	0.079826	0.271
FBtr0085459	600	426.746	79.151146	259.729
FBtr0070973	1218	1044.410	0.622596	5.000
FBtr0089252	2767	2593.410	2.429029	48.439
FBtr0334488	2840	2666.410	1.600436	32.814
FBtr0334489	2902	2728.410	1.625849	34.110
FBtr0100600	3804	3630.410	3.354269	93.637
FBtr0300305	309	135.928	0.000000	0.000
FBtr0077162	567	393.759	0.000000	0.000
FBtr0072277	713	539.682	57.833642	240.000
FBtr0344898	1082	908.410	0.000000	0.000
FBtr0086817	1175	1001.410	0.000000	0.000
FBtr0333271	5146	4972.410	0.743382	28.423
FBtr0072639	5149	4975.410	0.931583	35.640
FBtr0340000	824	650.634	1.987704	9.944
FBtr0087390	427	253.841	99.931709	195.056
FBtr0070472	3021	2847.410	2.881437	63.089
FBtr0331752	4499	4325.410	16.740398	556.783
FBtr0070475	3174	3000.410	6.802520	156.944
FBtr0070474	3218	3044.410	1.635514	38.287
FBtr0302185	2166	1992.410	1.431719	21.935
FBtr0070471	4805	4631.410	10.441600	371.855
FBtr0112828	2903	2729.410	4.814541	101.045
FBtr0301966	3182	3008.410	1.375970	31.830
FBtr0070468	3055	2881.410	7.681695	170.198
FBtr0070476	2745	2571.410	0.521995	10.321
FBtr0070470	3110	2936.410	1.833194	41.392
FBtr0331751	4750	4576.410	1.207655	42.497
FBtr0070469	4244	4070.410	12.012780	375.989
FBtr0070467	2929	2755.410	0.599084	12.693
FBtr0331753	5004	4830.410	0.639846	23.766
FBtr0070466	2847	2673.410	2.482730	51.037
FBtr0070473	3091	2917.410	2.615962	58.684
FBtr0076265	1575	1401.410	47.791167	514.998
FBtr0331935	1030	856.410	0.174307	1.148
FBtr0088237	816	642.637	97.916105	483.852
FBtr0081705	1363	1189.410	0.000000	0.000
FBtr0088524	1299	1125.410	87.014445	753.000
FBtr0074540	843	669.617	26.801518	138.000
FBtr0074494	1357	1183.410	0.659361	6.000
FBtr0085714	3349	3175.410	103.557525	2528.567
FBtr0085713	3440	3266.410	866.847755	21772.410
FBtr0076256	334	160.917	1.616350	2.000
FBtr0339552	1718	1544.410	12.333066	146.463
FBtr0078950	1533	1359.410	28.368489	296.537
FBtr0070990	1321	1147.410	1.329445	11.730
FBtr0100409	805	631.641	1.537680	7.468
FBtr0343330	706	532.684	107.138071	438.840
FBtr0304902	1617	1443.410	0.000000	0.000
FBtr0304901	2286	2112.410	0.061564	1.000
FBtr0078872	1228	1054.410	0.000000	0.000
FBtr0077839	2112	1938.410	13.681876	203.931
FBtr0077837	2331	2157.410	3.194136	52.988
FBtr0077838	2235	2061.410	3.692021	58.522
FBtr0077836	2325	2151.410	18.651801	308.558
FBtr0075133	4018	3844.410	0.588447	17.395
FBtr0332862	2190	2016.410	2.102856	32.605
FBtr0087988	1754	1580.410	164.742946	2002.025
FBtr0087987	1948	1774.410	473.959511	6466.781
FBtr0074688	1633	1459.410	52.307973	587.000
FBtr0086864	3503	3329.410	13.319690	341.000
FBtr0083361	1283	1109.410	0.000000	0.000
FBtr0392904	4164	3990.410	10.296080	315.924
FBtr0084588	2385	2211.410	78.458918	1334.150
FBtr0303161	2639	2465.410	17.343625	328.793
FBtr0079257	1918	1744.410	15.208581	204.000
FBtr0307341	906	732.594	0.058531	0.330
FBtr0084989	527	353.773	0.435982	1.186
FBtr0306309	750	576.664	0.032151	0.143
FBtr0344570	539	365.767	2.438173	6.857
FBtr0078090	1219	1045.410	32.841610	264.000
FBtr0087439	546	372.766	21.979183	63.000
