Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0052423	17014	3871	3436	14010	3026	3499	8569	6050	4896	7144	4232	4289	5863.37	6505	5222	0.797	-0.327	-3.553	0.000380388851866155	0.00368424343510278	0.0071	0.005	0.0059	0.0059	TRUE	NA
FBgn0031990	10201	2823	2685	7489	2521	2797	5138	4412	3826	3819	3526	3428	4024.79	4459	3591	0.808	-0.307	-3.549	0.000386441609514116	0.00373476577160287	0.0058	0.0052	0.0051	0.0051	TRUE	NA
FBgn0261983	2478	799	856	2113	682	759	1248	1249	1220	1077	954	930	1113.03	1239	987	0.799	-0.325	-3.548	0.000388589942412656	0.00375146830891354	0	0.0069	0.005	0.005	TRUE	NA
FBgn0027621	1482	655	623	1190	523	586	746	1024	888	607	731	718	785.73	886	685	0.778	-0.362	-3.545	0.000392214999758249	0.00377829552086425	0.0024	0.0079	0.0062	0.0062	TRUE	NA
FBgn0005694	2018	671	615	1486	534	632	1016	1049	876	758	747	775	870.11	980	760	0.774	-0.369	-3.543	0.000394871632349336	0.00379569825283054	0.0044	0.0075	0.0066	0.0066	TRUE	NA
FBgn0024291	2512	792	766	1995	661	751	1265	1238	1091	1017	925	920	1076.13	1198	954	0.797	-0.328	-3.541	0.000398844385082263	0.00382976382665012	0.0012	0.007	0.0052	0.0052	TRUE	NA
FBgn0014010	7483	1841	2061	5906	1721	2078	3769	2877	2937	3012	2407	2547	2924.76	3194	2655	0.833	-0.264	-3.53	0.000415523791149367	0.0039794267881875	7e-04	0.0054	0.0036	0.0036	TRUE	NA
FBgn0036053	4935	1736	1856	4301	1533	1746	2486	2713	2645	2193	2144	2140	2386.78	2615	2159	0.828	-0.272	-3.53	0.000415767658833028	0.0039794267881875	9e-04	0.0056	0.0038	0.0038	TRUE	NA
FBgn0004687	5908	1816	2068	5152	1688	1828	2976	2838	2947	2627	2361	2241	2664.85	2920	2410	0.825	-0.278	-3.527	0.000420438496244611	0.00401982416645008	0.0016	0.0055	0.004	0.004	TRUE	NA
FBgn0004861	1925	603	522	1188	484	553	970	942	744	606	677	678	769.38	885	654	0.735	-0.444	-3.524	0.000425373402629983	0.00405398557682577	0.015	0.0079	0.01	0.01	TRUE	NA
FBgn0016926	1916	599	713	1577	552	583	965	936	1016	804	772	715	867.98	972	764	0.787	-0.346	-3.523	0.000427030288055667	0.0040654376037709	0.0017	0.0075	0.0057	0.0057	TRUE	NA
FBgn0004865	169	56	54	95	29	33	85	88	77	48	41	40	63.17	83	43	0.523	-0.934	-3.522	0.000428134056746503	0.0040716050338086	0	0.0458	0.0326	0.0326	TRUE	NA
FBgn0284227	2417	918	1002	1387	844	1020	1217	1435	1428	707	1180	1250	1202.95	1360	1046	0.746	-0.424	-3.519	0.000432375681857717	0.00410756897764831	0.0159	0.0067	0.0096	0.0096	TRUE	NA
FBgn0028394	346	110	141	242	67	99	174	172	201	123	94	121	147.59	182	113	0.626	-0.676	-3.518	0.000434989117763276	0.00412183399953323	0.009	0.0222	0.0192	0.0192	TRUE	NA
FBgn0004436	4761	921	988	3882	839	955	2398	1439	1408	1980	1173	1171	1594.78	1748	1441	0.824	-0.279	-3.513	0.000442986666477079	0.00418610680596858	0	0.0062	0.0038	0.0038	TRUE	NA
FBgn0034643	2800	990	1021	2081	934	972	1410	1547	1455	1061	1306	1191	1328.53	1471	1186	0.803	-0.317	-3.511	0.000446381732048259	0.00421373030358451	0.0023	0.0065	0.0051	0.0051	TRUE	NA
FBgn0285947	53858	20059	26306	40878	21101	22692	27126	31348	37483	20845	29513	27813	29021.64	31986	26057	0.811	-0.303	-3.511	0.000447101459597749	0.00421606761795977	0.0058	0.0046	0.0053	0.0053	TRUE	NA
FBgn0263392	12649	4694	3470	8873	3407	3622	6371	7336	4944	4525	4765	4439	5396.74	6217	4576	0.736	-0.442	-3.509	0.000448961460727708	0.00422914118596881	0.0257	0.005	0.0112	0.0112	TRUE	NA
FBgn0020764	1650	587	688	1114	551	657	831	917	980	568	771	805	812.13	909	715	0.775	-0.369	-3.505	0.000457315960385571	0.00430329981690532	0.0044	0.0077	0.0067	0.0067	TRUE	NA
FBgn0028970	800	364	405	514	322	384	403	569	577	262	450	471	455.34	516	394	0.745	-0.424	-3.493	0.000478447406056996	0.00449267648379493	0	0.0103	0.0083	0.0083	TRUE	NA
FBgn0033717	10907	4043	4715	8916	4008	4552	5493	6318	6718	4547	5606	5579	5710.35	6176	5244	0.847	-0.239	-3.487	0.000488589566359127	0.00456869615454137	5e-04	0.005	0.0032	0.0032	TRUE	NA
FBgn0034804	82	30	40	38	14	17	41	47	57	19	20	21	34.16	48	20	0.419	-1.253	-3.479	0.000503344688175009	0.00468215423479461	0	0.0809	0.0582	0.0582	TRUE	NA
FBgn0012034	3311	1219	1416	2733	1155	1316	1668	1905	2018	1394	1615	1613	1702.08	1864	1541	0.827	-0.273	-3.471	0.00051757199983253	0.00480304841552923	0	0.0061	0.0038	0.0038	TRUE	NA
