Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0250904	30	12	12	100	44	50	15	19	17	51	62	61	37.46	17	58	3.456	1.789	4.772	1.82688242957495e-06	6.40631566937955e-05	0	0.0969	0.0611	0.0611	TRUE	0.1258
FBgn0266064	5040	1828	1990	7146	3181	3503	2538	2857	2836	3644	4449	4294	3436.26	2744	4129	1.505	0.59	4.743	2.10987607757465e-06	7.31232148753205e-05	0.007	0.0138	0.0108	0.0108	TRUE	0.1306
FBgn0029147	1329	495	600	2147	969	1027	669	774	855	1095	1355	1259	1001.14	766	1236	1.617	0.693	4.704	2.55598245866408e-06	8.65632538377224e-05	0.0125	0.016	0.0145	0.0145	TRUE	0.1563
FBgn0032635	966	338	376	1492	565	631	487	528	536	761	790	773	645.84	517	775	1.503	0.588	4.684	2.81077202549223e-06	9.41185956054861e-05	0	0.0177	0.0096	0.0096	TRUE	0.0353
FBgn0039485	76	18	29	186	70	68	38	28	41	95	98	83	63.97	36	92	2.535	1.342	4.624	3.7609552501228e-06	0.00012181392150125	0	0.0621	0.0405	0.0405	TRUE	0.1649
FBgn0003074	3139	1157	1251	4456	2181	2321	1581	1808	1783	2272	3050	2845	2223.22	1724	2722	1.579	0.659	4.618	3.86768037215117e-06	0.000124816772009965	0.0129	0.0143	0.0142	0.0142	TRUE	0.2591
FBgn0031307	2708	990	1170	4023	1812	2197	1364	1547	1667	2051	2534	2693	1976.15	1526	2426	1.59	0.669	4.613	3.97776141090754e-06	0.000127445758586163	0.0137	0.0144	0.0146	0.0146	TRUE	0.2264
FBgn0004108	758	341	394	1436	685	802	382	533	561	732	958	983	691.58	492	891	1.818	0.862	4.61	4.03376003197418e-06	0.000128776704676681	0.0326	0.0174	0.0235	0.0235	TRUE	0.4897
FBgn0053556	378	118	116	558	253	256	190	184	165	285	354	314	248.71	180	318	1.747	0.805	4.595	4.31951125257441e-06	0.000137289454798686	0.0062	0.0255	0.0174	0.0174	TRUE	0.1096
FBgn0038720	400	132	135	644	224	290	201	206	192	328	313	355	266.21	200	332	1.661	0.732	4.576	4.7444429773628e-06	0.00014932421766562	0	0.0247	0.0142	0.0142	TRUE	0.0385
FBgn0260933	1239	458	435	1771	752	857	624	716	620	903	1052	1050	827.49	653	1002	1.534	0.617	4.56	5.11383021447811e-06	0.00016038340042379	0.006	0.0166	0.0118	0.0118	TRUE	0.094
FBgn0011016	2845	873	1098	4368	1448	1657	1433	1364	1565	2227	2025	2031	1774.24	1454	2094	1.442	0.528	4.549	5.39577691299881e-06	0.000167457090467179	0.0031	0.0146	0.0091	0.0091	TRUE	0.0512
FBgn0032140	3419	1164	1270	5060	1681	2074	1722	1819	1810	2580	2351	2542	2137.38	1784	2491	1.399	0.484	4.535	5.76046165947158e-06	0.000178154277780949	0.0013	0.0143	0.0077	0.0077	TRUE	0.0288
FBgn0000146	2607	828	983	3839	1342	1477	1313	1294	1401	1958	1877	1810	1608.79	1336	1882	1.41	0.496	4.531	5.87018297400511e-06	0.000180919445499874	0.001	0.0148	0.0079	0.0079	TRUE	0.0208
FBgn0003041	2592	896	959	3746	1382	1501	1306	1400	1366	1910	1933	1840	1625.86	1357	1894	1.397	0.483	4.528	5.94747642165867e-06	0.000182669560302461	5e-04	0.0148	0.0075	0.0075	TRUE	0.0144
